,adj,freq
1700,bullet,2
1701,intel,1
1702,excellent,8
1703,pinned,1
1704,instinct,2
1705,gut,2
1706,kimberly,4
1707,obvious,13
1708,tie,1
1709,weight,4
1710,topic,2
1711,ohio,9
1712,fous,1
1713,matt,5
1714,instrumental,4
1715,steven,24
1716,nursing,3
1717,thomas,10
1718,outcome,2
1719,vr,3
1720,use,3
1721,logic,1
1722,salute,3
1723,lifeline,1
1724,lift,6
1725,pennsylvania,1
1726,wherein,1
1727,freeman,2
1728,overused,1
1729,reintegrate,1
1730,gentle,5
1731,overnight,67
1732,commercial,2
1733,reno,1
1734,maritime,1
1735,honorary,1
1736,relief,2
1737,despicable,2
1738,robbery,4
1739,inmate,1
1740,known,7
1741,botched,1
1742,received,2
1743,acquittal,2
1744,scud,3
1745,weapon,5
1746,firearm,2
1747,meteorologist,1
1748,facebook,1
1749,racist,2
1750,satellite,2
1751,appointment,1
1752,superior,3
1753,jewish,17
1754,outdated,1
1755,insensitive,1
1756,assume,3
1757,emergent,1
1758,substantial,2
